Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
3243,57,18,85,29,1383,230,198,95,2718,Rawah,C7746,0
2748,214,31,127,57,1087,174,250,193,1784,Commanche,C2705,4
2964,0,12,95,24,1342,203,218,152,524,Commanche,C7202,0
3086,16,17,295,-21,1262,203,203,133,234,Commanche,C7700,0
3455,34,17,638,240,2220,215,201,117,1784,Rawah,C8776,0
3125,99,22,127,26,4081,250,204,72,2093,Rawah,C7745,0
2917,103,16,120,25,1800,245,218,97,2030,Commanche,C7755,1
3079,351,6,277,22,3290,209,229,159,1294,Commanche,C7756,1
2704,45,15,300,-9,816,223,207,115,216,Commanche,C4703,1
2732,88,16,108,38,1348,242,212,94,1477,Commanche,C4704,1
2975,331,6,182,30,1712,205,232,166,30,Commanche,C7756,1
3529,31,20,789,117,2628,210,192,111,1677,Rawah,C8776,0
3097,103,14,309,59,785,243,221,103,1717,Rawah,C7745,0
2408,315,25,420,177,874,146,211,201,1082,Cache,C4703,5
2719,226,32,175,102,470,159,249,210,1539,Commanche,C4758,1
3008,261,26,67,47,2763,146,242,229,175,Commanche,C7757,1
2640,139,14,268,0,890,240,235,122,626,Commanche,C2703,2
3043,84,23,218,5,560,245,194,65,1471,Rawah,C7745,0
3041,113,12,0,0,690,241,227,114,1879,Rawah,C7745,0
2539,15,10,268,31,797,211,219,144,841,Cache,C2717,1
3165,357,13,127,32,1195,199,216,154,541,Commanche,C7755,0
3279,71,17,424,92,742,236,205,95,1050,Commanche,C8772,6
2886,41,15,283,5,1471,221,206,117,2166,Commanche,C4704,1
2467,22,9,335,55,418,215,221,143,1071,Cache,C4703,5
2874,161,16,240,91,964,234,242,133,3015,Commanche,C4704,4
2313,330,26,30,19,990,148,198,183,924,Cache,C4703,5
3464,67,21,466,171,2458,236,193,80,2358,Rawah,C8776,0
3003,108,5,531,46,2761,228,234,141,1470,Commanche,C7756,1
3172,81,11,42,3,1574,235,221,117,510,Commanche,C7756,0
2827,137,11,255,26,589,238,236,127,2723,Commanche,C4704,1
2473,359,24,300,111,726,177,188,142,1250,Cache,C4703,2
2774,0,13,430,-13,759,201,216,152,815,Commanche,C4704,1
2343,267,9,30,3,30,198,244,185,722,Cache,C6102,2
3292,52,25,470,77,1986,223,178,75,2372,Rawah,C8771,0
3113,326,2,300,37,2126,215,237,160,2335,Commanche,C7102,0
3071,17,12,446,9,1956,210,214,140,1307,Commanche,C7756,1
3125,3,4,752,44,1972,214,232,155,2601,Commanche,C7756,0
3134,334,8,698,70,1915,202,229,167,2630,Commanche,C7756,0
3406,65,17,404,113,2268,234,203,96,2543,Rawah,C8776,0
3168,118,19,361,125,3098,249,220,92,2856,Rawah,C7745,0
3117,111,18,258,87,2717,248,217,90,3095,Rawah,C7745,0
2430,98,16,162,46,612,244,216,96,1490,Cache,C2717,5
3050,107,31,618,-54,696,254,186,34,1710,Rawah,C7746,0
2893,170,21,150,39,1022,230,244,136,2089,Commanche,C7757,1
3105,337,7,216,29,2135,204,230,165,2312,Commanche,C7756,1
3021,69,12,95,17,2125,232,217,115,1601,Commanche,C7755,1
3403,285,14,277,93,3692,181,239,198,1090,Rawah,C8772,0
2451,335,20,306,73,752,170,208,175,511,Cache,C4703,5
3452,313,29,247,38,3159,132,204,206,1848,Rawah,C8776,0
2741,35,17,516,79,566,216,200,114,1103,Commanche,C4704,1
3292,70,14,426,105,765,234,211,105,1082,Commanche,C8772,6
2457,319,26,190,64,765,144,206,197,1341,Cache,C4703,1
2796,96,15,60,14,990,243,217,100,2207,Commanche,C4704,1
2827,60,10,150,28,1224,228,218,122,2160,Commanche,C6102,1
3244,48,13,170,16,1516,224,211,119,741,Commanche,C7755,0
2880,54,10,361,54,815,226,218,125,1489,Commanche,C4704,4
2997,6,9,371,65,3247,209,222,151,1001,Commanche,C7755,1
3079,346,2,0,0,3880,215,235,158,2059,Rawah,C7202,0
3046,214,18,42,13,624,200,254,184,560,Commanche,C7700,1
3147,125,20,150,42,1036,249,221,91,2142,Rawah,C7745,0
2902,117,10,30,-5,743,237,231,125,2375,Commanche,C6102,1
2739,147,25,60,14,1383,244,228,98,1441,Commanche,C2705,4
3101,286,8,510,47,2416,199,240,181,2151,Commanche,C7756,1
3161,43,12,150,6,1747,222,213,123,685,Commanche,C7755,0
2604,356,17,454,190,285,191,207,153,874,Cache,C4703,1
3204,41,10,67,2,1590,222,217,130,626,Commanche,C7756,0
3097,327,11,153,22,2120,192,227,174,2334,Commanche,C7756,1
3011,344,4,600,96,2634,211,233,160,1740,Commanche,C7756,1
2885,312,13,0,0,2537,185,230,185,192,Commanche,C7202,0
2438,310,23,437,4,830,150,217,203,1140,Cache,C4703,5
3032,38,14,162,14,1036,219,208,121,201,Commanche,C7700,0
2547,303,14,180,54,295,180,232,193,807,Cache,C4703,1
3112,105,13,30,6,2571,241,224,110,1824,Commanche,C7755,0
3217,114,35,323,140,3903,254,182,0,2391,Rawah,C8772,0
2945,239,15,85,19,2576,191,252,197,247,Commanche,C7757,1
3020,41,5,240,0,1470,221,228,143,1112,Commanche,C7756,0
3095,176,15,201,24,300,226,247,149,853,Commanche,C7755,1
