Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2419,182,11,240,75,984,223,247,156,1493,Cache,C2717,2
2360,18,10,124,55,1100,212,218,142,908,Cache,C4703,5
2437,294,29,277,155,741,125,218,226,1198,Cache,C4703,5
3047,111,6,124,26,1260,230,234,137,1140,Commanche,C7756,1
3005,7,16,192,39,2301,199,207,143,2052,Commanche,C7756,1
2501,343,21,270,137,785,173,204,166,1398,Cache,C4703,1
2800,291,14,342,68,228,180,237,197,1997,Commanche,C4703,1
2466,63,15,0,0,516,232,208,105,1084,Cache,C2705,1
3365,272,18,212,83,2259,171,243,210,2787,Rawah,C8772,0
2771,145,18,60,15,582,242,234,114,2821,Commanche,C4704,1
2461,44,16,553,117,810,222,202,110,1410,Cache,C2717,5
3069,38,18,540,-36,2083,217,197,109,1585,Commanche,C7755,1
3223,289,33,192,-25,3278,113,216,233,2108,Rawah,C7745,0
3218,58,16,60,-7,1633,230,203,101,2856,Rawah,C7745,0
3146,316,15,108,16,3594,181,227,186,1958,Rawah,C7700,0
3335,94,21,408,50,1637,248,203,74,2039,Rawah,C8771,0
3108,306,10,124,12,2017,191,234,183,2474,Commanche,C7756,1
2845,103,26,90,43,95,252,197,56,918,Rawah,C7745,1
2547,329,17,402,161,866,178,218,179,1222,Cache,C4703,1
2993,158,8,408,44,2641,229,242,146,1590,Commanche,C7102,0
3072,45,1,95,3,2178,219,236,155,2154,Commanche,C7756,1
3525,274,7,295,113,3006,201,242,180,1756,Rawah,C8776,0
2774,85,10,108,22,755,235,222,118,2259,Commanche,C4704,1
2903,6,12,210,19,1655,205,216,148,2804,Commanche,C7756,1
2374,336,29,150,66,930,144,187,174,940,Cache,C4703,5
2923,324,13,190,49,1806,187,226,179,2412,Commanche,C7757,1
2871,32,12,170,8,1410,217,214,130,2398,Commanche,C4704,1
2531,91,17,124,62,1040,244,210,89,918,Cache,C4703,2
2744,32,9,552,45,120,218,221,139,794,Commanche,C4704,4
2698,229,33,108,64,799,152,248,215,1506,Commanche,C4758,1
2883,18,15,524,149,277,207,206,133,1099,Commanche,C4704,1
2957,115,5,120,8,1958,229,235,140,212,Commanche,C7756,1
3144,358,6,752,79,1848,211,229,156,2697,Commanche,C7756,0
2333,33,24,60,27,1181,207,179,96,977,Cache,C4703,5
2940,355,6,268,-4,1543,211,230,157,190,Commanche,C7202,1
2859,175,21,180,76,1050,226,246,141,2979,Commanche,C2705,4
2778,203,25,192,99,1248,198,252,176,1672,Commanche,C2705,4
3050,106,4,408,78,2403,227,234,142,2241,Commanche,C7756,0
2825,356,10,124,14,1350,204,222,156,2954,Commanche,C7755,0
2939,9,17,362,6,1973,199,204,139,2975,Commanche,C7756,1
2959,74,20,335,148,350,239,199,82,1180,Rawah,C7746,1
3097,17,10,67,5,4057,212,219,144,1911,Rawah,C7202,0
3001,292,25,108,54,2785,141,225,220,212,Commanche,C7757,1
3432,320,33,192,52,2839,119,190,200,2329,Rawah,C8776,0
3479,40,14,624,45,2676,220,208,119,1869,Rawah,C8776,0
3102,110,14,134,31,300,243,224,107,779,Commanche,C7755,1
2890,22,13,335,64,902,212,212,135,1574,Commanche,C4704,1
2980,129,16,0,0,782,244,229,109,1468,Commanche,C7757,1
2837,141,10,180,26,1410,235,238,133,3083,Commanche,C7202,1
3242,301,33,42,-6,3130,113,206,224,2236,Rawah,C8772,0
3114,97,28,295,9,808,252,187,44,1854,Rawah,C7745,1
3075,20,15,153,-7,1441,208,206,132,569,Commanche,C7700,0
3300,80,34,297,113,3824,242,160,20,2620,Rawah,C8772,0
3026,18,4,518,94,3061,217,231,152,1170,Commanche,C7756,1
3021,265,12,598,-47,1833,190,245,194,2290,Commanche,C7755,1
2529,135,2,218,17,85,223,238,151,1784,Cache,C2717,5
3191,56,33,371,78,792,221,153,40,1660,Rawah,C7746,0
2994,56,17,437,173,2829,229,203,101,750,Commanche,C7756,1
3092,45,3,598,38,2714,220,232,149,1933,Commanche,C7756,1
2834,153,10,295,53,1543,232,241,140,1383,Commanche,C4704,1
2712,16,14,67,11,832,207,209,137,1987,Commanche,C6102,0
3045,97,16,218,42,2423,244,215,95,1922,Commanche,C7755,1
2859,152,13,0,0,1140,235,240,133,2021,Commanche,C7102,0
2844,48,19,175,49,1465,224,196,100,2808,Commanche,C7756,0
2905,43,27,228,107,242,214,171,76,1495,Rawah,C7745,0
3056,19,12,360,68,2313,211,214,138,2605,Commanche,C7756,0
3176,117,24,319,9,3183,253,209,70,2807,Rawah,C7745,0
2950,128,12,42,10,1448,239,233,122,342,Commanche,C7756,0
3227,90,13,551,84,457,240,219,107,902,Commanche,C7755,0
2896,193,12,543,115,1440,218,250,164,1583,Commanche,C2705,1
