Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2951,156,3,150,17,2148,223,239,152,430,Commanche,C7756,1
3114,354,4,636,60,2281,212,232,157,2297,Commanche,C7756,0
2401,28,23,90,17,661,203,182,105,1315,Cache,C2706,2
3119,85,35,470,14,780,244,158,13,1804,Rawah,C7745,1
2923,96,23,371,118,400,250,200,66,1430,Rawah,C7745,0
3091,107,13,150,4,904,242,223,108,1550,Rawah,C7745,0
2349,354,19,127,24,1567,185,203,153,577,Cache,C4703,5
2918,168,19,331,80,808,231,244,136,2093,Commanche,C7757,1
2971,278,7,696,-63,1442,202,241,179,1746,Commanche,C7755,1
3102,50,7,0,0,1301,224,225,136,2317,Rawah,C7745,0
2848,39,14,258,47,1348,220,209,121,2114,Commanche,C4704,1
2768,148,16,90,4,1100,239,237,122,854,Commanche,C2703,2
3063,270,0,564,64,2713,217,238,158,2055,Commanche,C7756,1
3008,75,14,342,70,2012,236,213,104,1777,Commanche,C7756,1
2582,331,15,390,95,842,182,219,176,1084,Cache,C4703,2
3091,99,20,0,0,713,248,209,80,1594,Rawah,C7746,0
3363,299,33,0,0,3046,112,208,226,2171,Rawah,C8772,0
2848,30,8,108,6,1276,218,223,141,2672,Commanche,C4704,1
2416,353,19,192,10,1116,185,205,155,134,Cache,C4703,5
2549,174,2,218,28,0,220,240,156,612,Cache,C2717,1
2789,123,13,360,28,1538,241,230,115,1129,Commanche,C4704,2
2263,335,17,30,9,1106,179,215,173,808,Cache,C4703,5
3126,53,12,30,5,1546,227,215,120,499,Commanche,C7755,0
2862,34,7,277,74,1338,219,225,142,3018,Commanche,C7755,1
3018,291,8,324,-16,1826,197,239,181,1666,Commanche,C7755,1
3107,83,12,277,69,824,237,219,112,1702,Rawah,C7745,0
2831,138,13,277,28,618,239,235,124,2751,Commanche,C4704,1
2452,345,11,150,13,247,197,222,163,1146,Cache,C4703,5
3021,297,11,0,0,2880,190,237,186,1060,Commanche,C7102,0
3126,96,4,360,22,1958,227,233,141,997,Commanche,C7755,0
2777,0,7,0,0,716,210,227,155,2866,Commanche,C7755,1
3006,308,9,424,-28,1708,196,235,178,1878,Commanche,C7755,1
2823,129,3,0,0,824,225,237,147,2378,Commanche,C6102,1
2941,32,11,30,5,1165,218,217,134,1206,Commanche,C7202,1
3108,105,7,150,30,1559,232,232,133,3050,Commanche,C7202,0
2968,272,8,721,-66,1433,199,243,182,1793,Commanche,C7755,1
3017,58,12,162,0,1663,228,215,118,1233,Commanche,C7755,0
2682,18,15,300,40,330,207,207,134,511,Commanche,C4704,1
3070,72,5,60,1,2230,226,230,138,2206,Commanche,C7756,1
3129,0,2,698,48,1905,216,235,156,2666,Commanche,C7756,0
2452,278,19,270,-10,90,165,239,213,510,Cache,C4703,2
3136,320,23,430,69,1705,154,211,194,3254,Rawah,C7745,0
2852,183,18,424,220,1620,222,249,153,1410,Commanche,C2705,1
2791,121,15,108,11,400,244,227,108,2574,Commanche,C4704,1
2483,125,11,120,31,516,239,232,122,1405,Cache,C2717,5
3375,331,26,362,148,3506,150,197,182,3810,Rawah,C8772,0
3039,190,5,150,0,3227,220,244,159,1092,Commanche,C7756,1
2353,349,22,60,18,1478,175,198,158,488,Cache,C4703,5
3143,289,24,0,0,2282,145,229,221,3027,Rawah,C7745,0
3626,44,16,824,214,2763,222,204,112,1343,Rawah,C8776,0
2828,188,9,30,1,1198,221,247,159,2465,Commanche,C7102,0
2624,217,12,0,0,573,206,252,180,1350,Commanche,C7202,1
2837,135,9,30,0,1121,235,236,133,2322,Commanche,C7102,0
2794,57,14,417,60,134,229,210,111,808,Commanche,C4704,1
3442,301,27,85,30,3275,136,217,217,1537,Rawah,C8772,0
2499,271,9,30,4,1082,196,243,187,977,Cache,C2717,1
2348,344,10,0,0,351,201,225,163,902,Cache,C6102,2
3203,4,10,150,17,1489,207,220,151,2363,Rawah,C7745,0
3105,334,14,0,0,3630,186,220,173,2037,Rawah,C7202,0
3288,292,16,108,19,3471,173,235,201,1714,Rawah,C7745,0
2434,30,14,30,4,360,215,208,127,1273,Cache,C4704,5
3368,327,30,297,75,2707,135,192,189,2526,Rawah,C8772,0
2993,287,6,90,10,1871,204,240,175,3570,Rawah,C7202,0
3022,354,9,42,1,2850,206,225,158,1075,Commanche,C7755,1
2940,20,33,295,126,2691,178,152,93,849,Commanche,C7757,1
3102,81,6,391,25,2646,229,229,134,1860,Commanche,C7756,0
3002,156,5,417,84,2614,225,240,150,1622,Commanche,C7756,1
3115,69,4,192,17,2256,224,231,143,2329,Commanche,C7756,0
3345,126,4,443,60,1725,227,237,144,1959,Rawah,C8771,0
2974,162,18,255,69,780,235,241,130,1806,Commanche,C7757,1
3066,169,2,0,0,2285,221,240,155,2195,Commanche,C7756,0
3204,115,13,120,28,1543,243,226,110,2763,Rawah,C7745,0
3012,68,8,484,80,3254,228,225,130,845,Commanche,C7756,1
2885,167,8,240,53,810,226,243,150,1538,Commanche,C4704,1
3133,9,11,85,9,4231,207,217,146,1811,Rawah,C7202,0
3174,336,5,0,0,4511,209,233,162,1809,Rawah,C7202,0
3067,225,13,127,13,451,201,252,185,780,Commanche,C7202,1
2884,121,13,571,52,480,242,228,113,1248,Commanche,C4704,1
2382,287,25,67,23,598,141,229,223,604,Cache,C4703,5
2909,10,8,30,-3,1396,211,224,149,1530,Commanche,C7202,1
3084,346,2,339,30,3115,215,235,158,1464,Commanche,C7756,1
3048,281,8,323,-20,1950,199,241,182,2125,Commanche,C7755,1
2759,14,13,510,-14,607,207,213,141,560,Commanche,C4703,1
3114,270,1,655,60,2201,216,238,160,2366,Commanche,C7756,1
2872,215,19,474,40,845,199,254,186,1689,Commanche,C2705,4
2818,69,11,437,84,218,232,218,116,892,Commanche,C4704,1
3019,16,15,85,15,2760,206,207,136,1015,Commanche,C7755,1
2881,79,25,180,79,180,243,186,57,1034,Rawah,C7745,1
2417,355,26,90,52,700,167,183,147,1376,Cache,C4703,1
2712,72,9,42,4,664,231,222,123,2166,Commanche,C6102,1
2927,161,18,360,89,797,235,241,130,2133,Commanche,C7757,4
3031,191,19,192,35,600,216,251,161,1456,Commanche,C7757,1
3203,305,28,162,-2,3849,133,212,214,1608,Rawah,C7745,0
2796,205,20,391,15,1622,204,254,177,1323,Commanche,C2705,1
2981,117,24,127,32,1050,252,210,72,424,Commanche,C7757,1
3090,153,12,124,19,300,234,240,135,811,Commanche,C7755,1
3005,40,14,218,1,1718,220,208,119,1385,Commanche,C7755,1
2897,116,9,242,43,2273,236,231,126,671,Commanche,C7756,4
3443,91,22,618,209,2042,248,198,68,1829,Rawah,C8776,0
2906,340,22,90,18,1290,169,203,169,1711,Commanche,C7757,1
3088,169,15,277,73,424,230,245,142,1262,Commanche,C7757,1
3155,47,16,228,-10,1388,224,202,108,335,Commanche,C7700,0
2922,89,17,0,0,335,244,210,89,1221,Rawah,C7745,0
2939,285,3,124,0,1530,212,239,165,247,Commanche,C7756,1
2357,118,23,324,37,450,252,213,76,1149,Cache,C2704,2
2936,27,11,150,4,2278,215,217,137,443,Commanche,C7755,1
2885,135,10,175,-1,912,236,236,130,2513,Commanche,C7756,1
2923,8,11,90,15,2321,207,218,147,376,Commanche,C7755,0
