Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
3218,58,16,60,-7,1633,230,203,101,2856,Rawah,C7745,0
3454,75,27,658,169,2132,241,180,53,1559,Rawah,C8776,0
2418,140,12,60,-5,459,238,236,127,1353,Cache,C2717,5
3045,262,8,150,27,3001,200,245,184,1015,Commanche,C7756,1
2958,344,6,175,2,1388,208,230,161,335,Commanche,C7202,1
3091,270,4,466,37,2804,208,241,171,1803,Commanche,C7756,1
2856,68,30,95,50,108,234,166,42,1065,Rawah,C7745,0
3057,292,18,272,62,2542,165,233,207,1413,Commanche,C7755,1
3215,334,22,297,39,2658,163,204,177,2665,Rawah,C8772,0
2780,190,13,277,47,67,219,250,161,2067,Commanche,C4703,1
3006,96,6,553,49,2791,231,231,133,1440,Commanche,C7756,1
3090,85,3,234,15,2592,223,234,147,1860,Commanche,C7756,1
2460,298,17,323,16,711,170,232,201,1222,Cache,C4703,5
3016,313,16,277,69,2817,174,226,191,382,Commanche,C7756,1
2749,41,14,537,92,577,221,208,119,959,Commanche,C4704,1
2381,35,16,30,14,474,217,204,118,979,Cache,C4703,2
2630,209,16,30,4,658,207,253,178,1383,Commanche,C7202,1
3397,328,31,277,43,2787,132,189,188,2423,Rawah,C8772,0
3542,318,31,258,155,3256,125,195,201,1415,Rawah,C8776,0
3108,105,7,150,30,1559,232,232,133,3050,Commanche,C7202,0
3071,215,6,313,1,2552,214,246,168,2041,Commanche,C7756,0
3064,321,6,95,9,3276,204,234,169,2347,Rawah,C7202,0
3206,95,10,255,43,2492,236,225,120,1473,Commanche,C7755,0
2782,52,15,218,65,1209,227,206,108,1616,Commanche,C4703,1
3142,357,22,437,1,2190,180,194,148,1337,Commanche,C7756,1
3055,39,6,42,4,2799,220,227,142,1664,Commanche,C7756,0
3053,73,8,360,1,1866,230,225,128,1262,Commanche,C7755,1
2847,37,11,524,15,569,219,215,129,1245,Commanche,C4704,1
2934,74,23,108,34,300,240,190,68,1298,Rawah,C7745,0
3241,297,25,0,0,3649,143,223,216,1681,Rawah,C7745,0
3052,353,15,127,31,1080,193,213,157,1044,Commanche,C7756,1
2455,12,17,361,71,552,200,203,136,1158,Cache,C4703,5
2413,62,24,150,53,594,232,183,70,1215,Cache,C4703,2
2795,45,7,127,13,785,222,225,138,2737,Commanche,C4704,1
2874,1,13,30,4,1170,200,214,151,1931,Commanche,C7202,0
3113,158,17,124,8,853,236,240,128,1972,Rawah,C7745,0
2676,76,4,108,4,150,225,232,143,1167,Commanche,C4704,1
3043,146,2,162,8,2002,221,238,153,1917,Commanche,C7755,1
2932,74,14,85,14,1338,236,213,106,1410,Commanche,C7757,1
3085,39,6,228,15,2663,220,227,142,1784,Commanche,C7756,1
3293,113,22,404,180,981,251,211,77,1846,Rawah,C7746,0
2949,45,7,351,67,1989,222,224,137,2518,Commanche,C7756,1
3136,72,4,700,55,1775,224,232,144,2773,Commanche,C7756,0
2503,279,12,60,9,297,186,242,195,616,Cache,C4703,1
2989,180,19,234,60,750,224,248,149,1739,Commanche,C7757,1
2839,322,11,0,0,1189,191,229,177,2298,Commanche,C7755,1
2459,219,10,481,153,957,209,250,177,1167,Cache,C2717,2
3169,85,28,212,53,1425,246,181,44,2538,Rawah,C7745,0
3063,120,5,458,74,2507,229,235,140,2120,Commanche,C7756,0
2788,48,7,360,18,792,223,224,136,660,Commanche,C4704,1
2299,293,25,30,18,1381,140,224,220,787,Cache,C6102,5
3001,121,1,228,16,2040,221,237,152,1120,Commanche,C7756,1
2680,123,14,85,9,1298,243,228,111,741,Commanche,C2703,2
2978,48,14,182,18,2130,224,209,116,949,Commanche,C7756,1
3368,302,44,150,50,2918,66,177,229,2336,Rawah,C8772,0
3014,125,24,42,-4,600,252,215,77,1784,Rawah,C7745,0
3000,154,6,402,82,2613,227,241,147,1621,Commanche,C7756,1
3037,166,16,306,16,1120,232,244,138,1253,Commanche,C7756,1
3097,17,10,67,5,4057,212,219,144,1911,Rawah,C7202,0
3057,338,7,30,-1,1621,205,230,164,3207,Commanche,C7202,0
2960,23,11,342,77,2041,214,217,138,2506,Commanche,C7756,1
3261,84,10,120,-17,4223,234,224,121,2160,Rawah,C8771,0
3105,87,12,175,34,450,238,220,111,646,Commanche,C7755,0
2501,329,8,319,90,450,200,230,169,1698,Cache,C2717,2
3003,48,17,457,106,2962,224,202,106,738,Commanche,C7756,1
2725,139,16,0,0,1426,242,233,115,1406,Commanche,C7101,4
2707,22,20,134,18,1608,203,193,120,1253,Commanche,C4703,1
3038,64,9,484,99,201,229,221,125,1830,Commanche,C7757,1
3376,291,16,240,94,2219,173,236,202,2852,Rawah,C8772,0
3246,64,15,150,31,1802,233,207,103,2340,Rawah,C8772,0
3240,283,24,67,19,3958,148,233,222,1342,Rawah,C7745,6
2537,149,4,335,33,60,225,239,149,1981,Cache,C2717,2
2395,27,20,255,94,872,207,193,115,977,Cache,C4703,5
2804,175,26,60,21,1114,224,243,135,2984,Commanche,C2705,4
3398,108,14,509,116,2324,243,223,107,2325,Rawah,C8772,0
2938,235,15,60,11,2547,193,252,194,242,Commanche,C7757,1
2507,108,6,60,9,382,231,233,136,1521,Cache,C2717,5
2376,106,9,247,119,1422,235,229,125,942,Cache,C2703,2
2506,61,12,30,8,212,230,215,117,582,Cache,C4703,1
2838,139,15,247,59,752,241,234,119,2922,Commanche,C4704,1
3391,344,19,285,68,4295,178,206,165,3786,Rawah,C8776,6
2448,138,13,408,92,800,239,235,124,1173,Cache,C2703,5
2668,22,15,424,74,642,209,207,131,319,Commanche,C4703,1
2904,308,10,30,5,2430,191,234,182,162,Commanche,C7202,0
3294,50,18,301,79,1964,225,198,100,2197,Rawah,C8772,0
2815,151,6,192,16,1203,228,240,146,1933,Commanche,C4704,1
3395,205,25,417,85,3624,196,253,179,816,Rawah,C8772,0
2657,192,19,30,8,1800,215,251,163,1095,Commanche,C2705,0
3053,113,2,541,81,2568,222,237,151,2197,Commanche,C7756,0
3173,66,6,0,0,4509,226,228,137,1871,Rawah,C7202,0
2284,36,23,60,17,153,212,184,98,1006,Cache,C4703,5
3101,2,6,201,26,1653,211,228,154,3076,Commanche,C7756,0
2922,322,20,153,39,1920,166,216,188,2321,Commanche,C7757,1
2810,150,23,408,187,1680,242,232,106,1440,Commanche,C2705,1
2387,187,33,67,31,408,204,242,146,1124,Cache,C2705,2
2354,171,24,175,70,1450,228,242,132,864,Cache,C2704,2
2777,168,19,60,6,765,231,244,136,2998,Commanche,C4704,0
2890,59,14,120,-8,2402,230,211,111,309,Commanche,C4758,0
3025,73,32,60,-21,552,237,161,30,1438,Rawah,C7745,0
2564,303,15,330,77,450,179,232,193,841,Cache,C2717,1
2956,353,11,134,16,1698,201,221,158,607,Commanche,C7756,0
3080,97,6,60,2,3918,230,231,135,2079,Rawah,C7202,0
3023,315,3,551,112,2614,210,236,164,1689,Commanche,C7756,1
2472,14,10,42,2,361,210,218,144,1226,Cache,C4704,5
2411,92,19,300,104,866,246,207,82,836,Cache,C2704,2
2408,315,25,420,177,874,146,211,201,1082,Cache,C4703,5
3151,5,28,335,109,859,173,174,128,1842,Rawah,C7745,0
2643,126,19,469,3,698,248,224,96,516,Commanche,C2703,2
2442,303,18,30,14,924,168,229,200,600,Cache,C4703,1
2817,147,13,210,45,690,238,238,128,2886,Commanche,C4704,1
2544,13,10,285,36,759,210,219,145,872,Cache,C2717,1
2497,1,19,30,12,1120,190,202,146,864,Cache,C2717,1
3029,64,12,170,30,3020,231,215,115,1492,Commanche,C7756,1
3521,285,7,319,109,2992,202,240,178,1842,Rawah,C8776,0
2831,125,11,234,28,598,239,232,122,2713,Commanche,C4704,1
2976,290,11,234,64,1561,189,239,190,1693,Commanche,C7756,1
2723,42,6,400,24,30,221,226,140,713,Commanche,C6102,4
2716,62,5,277,27,268,224,230,142,957,Commanche,C4704,4
3016,346,6,258,51,2496,209,231,160,2486,Commanche,C7756,1
2457,250,6,497,101,769,208,244,174,1221,Cache,C2717,5
3085,270,5,360,90,2644,207,241,173,1511,Commanche,C7756,1
3238,83,20,150,24,1061,243,202,80,987,Commanche,C8772,0
2747,105,3,0,0,400,224,236,147,2644,Commanche,C7102,0
3313,287,41,234,44,3354,78,200,243,1812,Rawah,C8772,0
2894,76,28,216,94,234,241,176,47,1300,Rawah,C7745,0
3043,225,3,190,3,3164,215,242,165,1138,Commanche,C7756,1
3096,129,23,212,66,2673,251,218,82,3092,Rawah,C7745,0
2936,80,24,379,61,446,243,188,61,1471,Rawah,C7745,1
3099,56,7,247,1,2306,225,225,134,2224,Commanche,C7756,0
3012,173,21,255,74,690,228,245,138,1682,Commanche,C7757,1
2646,30,8,150,12,210,218,223,140,495,Commanche,C4704,1
3021,297,11,0,0,2880,190,237,186,1060,Commanche,C7102,0
2449,180,9,488,143,927,224,246,155,1187,Cache,C2717,2
2698,80,9,201,15,277,233,223,122,1087,Commanche,C4704,1
3298,339,26,42,5,2496,157,194,171,2737,Rawah,C7745,0
2996,21,13,85,21,1187,211,212,135,582,Commanche,C7700,0
2898,297,18,726,179,309,167,231,203,1626,Commanche,C2705,1
3333,34,17,454,118,2116,215,200,116,2082,Rawah,C8771,0
2549,341,11,365,80,60,197,224,165,641,Cache,C2717,1
3279,105,28,384,166,953,253,194,49,1816,Rawah,C7746,0
3178,328,12,0,0,4057,192,226,174,1463,Rawah,C8771,0
2855,40,7,170,10,1329,221,224,138,2380,Commanche,C4704,1
2988,161,17,446,49,591,235,242,131,2068,Commanche,C7757,1
3159,95,10,469,96,531,236,225,120,726,Commanche,C7756,0
2885,12,9,362,57,959,211,221,147,2779,Commanche,C4704,0
2953,108,13,120,14,2225,241,225,111,779,Commanche,C7755,1
2891,358,16,767,161,242,192,208,151,1350,Commanche,C4703,1
3001,339,14,350,69,2982,188,218,169,1277,Commanche,C7756,1
3086,123,25,175,50,2928,252,213,73,2860,Rawah,C7745,0
2896,136,16,218,58,918,243,232,113,2125,Commanche,C7757,1
3400,81,18,390,118,2248,241,206,88,2524,Rawah,C8776,0
2907,85,18,560,96,1798,243,207,87,2765,Commanche,C7202,1
2364,126,22,134,59,841,250,219,85,782,Cache,C2704,2
2345,66,18,162,38,1036,235,201,92,997,Cache,C2704,2
3080,99,6,85,7,2479,230,232,136,1967,Commanche,C7756,0
3199,26,22,90,36,4152,203,186,110,1461,Rawah,C8771,0
3217,115,12,382,61,1233,241,227,114,1806,Rawah,C7745,0
2941,108,17,150,-1,313,247,218,95,1170,Rawah,C7745,0
3130,309,23,95,17,2162,153,219,203,3151,Rawah,C7745,0
3270,335,29,134,56,2549,143,188,176,2736,Rawah,C8772,0
2428,189,29,120,72,350,207,246,153,1087,Cache,C2705,2
3097,133,19,216,82,607,247,227,100,1126,Commanche,C7757,1
3114,311,5,446,59,2247,205,236,170,2297,Commanche,C7756,0
2428,287,27,60,30,1126,133,226,227,806,Cache,C4703,5
3316,320,19,67,34,2407,169,219,189,2753,Rawah,C7745,0
2740,107,9,67,4,693,235,230,126,2197,Commanche,C4704,1
2838,246,17,474,144,900,184,251,203,1797,Commanche,C2705,4
2802,142,15,150,50,484,241,235,119,2669,Commanche,C4704,1
3247,55,14,30,-3,1746,228,210,112,2844,Rawah,C7745,0
3112,324,6,532,58,2285,205,233,168,2268,Commanche,C7756,1
3271,67,5,180,-18,4089,226,229,138,2138,Rawah,C8771,0
2517,101,7,60,5,234,233,230,130,1666,Cache,C2717,5
3174,153,17,90,12,1361,238,239,124,2585,Rawah,C7745,0
2391,298,30,210,111,408,124,214,223,1776,Cache,C4703,2
2875,78,13,60,-4,2477,236,216,109,450,Commanche,C4758,0
3104,29,12,60,5,4100,216,214,133,1895,Rawah,C7202,0
2804,351,11,85,11,1045,199,221,159,2831,Commanche,C7755,1
2773,65,20,366,149,716,234,196,85,942,Commanche,C7757,1
2423,359,20,212,80,912,186,200,148,648,Cache,C4703,5
2946,139,5,0,0,1087,228,238,144,1095,Commanche,C7202,1
2521,308,5,192,13,805,205,237,171,1082,Cache,C2717,1
3138,112,30,212,51,3992,254,194,44,2202,Rawah,C7745,0
2832,176,22,120,51,960,225,246,142,3087,Commanche,C2705,4
2990,299,17,30,11,2340,171,232,200,1084,Commanche,C7102,1
3076,41,5,313,28,2836,221,229,144,1613,Commanche,C7756,1
3096,315,9,324,30,2230,197,233,176,2496,Commanche,C7756,1
3159,353,23,95,12,2430,174,194,153,2890,Rawah,C7745,0
2858,189,17,90,19,1092,218,251,160,2367,Commanche,C7757,4
2510,109,23,192,41,942,252,206,69,713,Cache,C2702,2
2926,275,22,658,280,1328,156,239,220,1997,Commanche,C7755,1
2440,148,12,553,134,860,236,239,131,1142,Cache,C2717,2
3454,73,16,633,220,2072,237,208,97,1806,Rawah,C8776,0
3024,231,9,301,40,3095,206,249,180,658,Commanche,C7756,1
2656,28,9,180,14,210,217,220,138,607,Commanche,C4704,1
2969,79,17,90,14,430,240,206,90,1355,Rawah,C7745,0
3077,229,18,108,32,531,191,254,196,677,Commanche,C7700,1
3180,32,13,42,-1,1579,216,211,128,2495,Rawah,C7745,0
3297,276,28,402,15,2087,133,232,232,3129,Rawah,C8772,0
3073,0,6,30,3,3505,211,228,155,2219,Rawah,C7202,0
2757,28,14,534,58,242,214,210,129,931,Commanche,C4704,1
2955,48,26,60,-4,418,219,173,72,1173,Rawah,C7745,0
2956,324,4,170,10,1421,209,235,165,295,Commanche,C7202,1
3023,122,23,612,218,636,252,214,77,1650,Rawah,C7746,0
3000,281,11,750,-68,1595,189,241,192,2168,Commanche,C7755,1
3167,100,14,234,54,930,242,220,105,1855,Rawah,C7745,1
2811,94,11,60,4,576,238,223,115,2537,Commanche,C4704,1
2473,56,24,124,-3,882,228,181,73,912,Cache,C4703,2
3162,40,16,95,-13,1426,220,203,113,2654,Rawah,C7745,0
2457,323,9,180,18,218,197,231,173,1116,Cache,C4703,5
2812,186,19,402,116,832,220,250,156,1884,Commanche,C2705,4
2907,116,14,408,69,966,243,226,108,2462,Commanche,C7757,1
3043,10,4,150,8,2078,215,231,153,1958,Commanche,C7756,1
3450,78,22,553,16,2536,242,193,70,2106,Rawah,C8776,0
2499,95,13,60,16,350,241,220,106,424,Cache,C4703,1
3053,73,7,618,81,2497,229,226,131,2292,Commanche,C7756,0
2354,165,28,175,11,417,231,236,115,573,Cache,C2704,2
3102,29,9,751,48,2285,217,221,139,2334,Commanche,C7756,0
3008,285,7,376,-26,1756,202,240,178,1758,Commanche,C7755,1
2398,359,37,60,39,618,142,148,125,1302,Cache,C4703,1
