Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
3079,50,20,450,-26,2183,225,194,95,1682,Commanche,C7755,1
2884,31,11,201,11,1477,217,217,134,2393,Commanche,C4704,1
2957,21,12,175,29,2992,212,213,137,1020,Commanche,C7755,1
2973,88,11,324,33,2018,236,222,116,680,Commanche,C7756,0
3051,51,17,454,113,2139,226,202,104,1705,Commanche,C7755,1
2727,179,12,30,5,1057,225,247,153,558,Commanche,C2703,2
3059,294,11,418,-9,1992,189,237,189,2438,Commanche,C7755,1
3020,283,8,283,-14,1851,199,241,181,1749,Commanche,C7755,1
2887,226,19,420,106,1350,191,254,195,1616,Commanche,C2705,1
3117,3,4,402,44,2023,214,232,155,2442,Commanche,C7102,0
2956,59,7,0,0,1084,226,226,134,60,Commanche,C7202,1
2814,5,13,787,115,420,204,215,148,1082,Commanche,C4704,1
2967,281,14,182,37,2664,180,240,200,579,Commanche,C7757,1
3083,295,14,150,17,2305,178,235,197,3097,Rawah,C7201,0
2706,74,8,0,0,1466,230,224,127,1356,Commanche,C4703,4
2968,11,9,240,36,2131,211,222,148,633,Commanche,C7755,1
2618,295,18,295,204,402,167,232,205,993,Cache,C2717,1
2352,26,34,30,21,457,183,146,78,684,Cache,C4703,5
2879,78,13,430,91,1230,237,215,106,1574,Commanche,C4703,1
3083,276,10,67,9,2372,194,242,187,2081,Commanche,C7756,1
3056,108,22,190,41,779,251,208,73,1253,Commanche,C7757,1
3089,66,6,30,1,1638,226,228,137,691,Commanche,C7755,0
2869,161,24,90,27,1061,236,237,118,2180,Commanche,C7757,1
2858,277,19,418,212,1075,167,240,212,1776,Commanche,C7757,1
3050,357,5,30,1,3177,213,231,157,2499,Rawah,C7202,0
3358,9,19,182,65,2467,195,200,138,2601,Rawah,C8772,0
3200,53,12,30,6,1690,227,214,119,631,Commanche,C7755,0
2378,283,23,283,108,1140,152,234,219,212,Cache,C4703,5
2452,320,23,255,-24,674,154,210,193,1332,Cache,C4703,5
3215,315,18,342,98,1463,169,222,192,2971,Rawah,C7746,0
3037,325,4,285,38,2799,210,235,163,1801,Commanche,C7756,1
3056,11,10,256,24,1138,210,221,147,153,Commanche,C7700,0
2838,228,22,60,12,1080,182,254,202,1768,Commanche,C2705,1
2860,3,17,90,16,1266,195,205,145,2282,Commanche,C7755,1
2858,69,20,190,53,218,237,198,84,1248,Rawah,C7745,1
2459,303,18,240,-3,60,168,229,200,470,Cache,C4703,2
3047,69,25,466,70,485,237,182,61,1380,Rawah,C7746,1
2370,146,22,192,69,872,244,230,103,824,Cache,C2704,2
3004,9,11,408,181,2796,208,219,147,703,Commanche,C7756,1
3061,135,25,134,46,685,249,220,82,1211,Commanche,C7757,1
2856,213,19,360,173,1101,199,254,185,1846,Commanche,C2705,4
3324,2,16,42,7,3997,195,207,147,972,Rawah,C8771,0
2891,77,24,42,15,212,242,187,61,1207,Rawah,C7745,0
3120,27,3,234,12,2287,218,232,151,2349,Commanche,C7756,0
2894,125,18,85,12,1680,247,224,98,2126,Commanche,C7755,1
3007,68,4,511,119,2503,224,231,142,1804,Commanche,C7756,1
3000,125,8,330,71,2300,234,235,133,2510,Commanche,C7756,1
2985,279,3,0,0,2659,211,239,166,1717,Commanche,C7102,0
2971,124,12,218,53,2460,240,231,118,1771,Commanche,C7756,1
3314,166,7,190,12,3891,226,243,150,2469,Rawah,C8771,6
2476,343,15,60,18,1107,188,216,166,782,Cache,C4703,1
2909,81,16,666,-18,1939,240,211,97,2848,Commanche,C7202,0
2412,270,20,60,28,532,163,242,216,417,Cache,C4703,5
2385,334,30,85,33,742,139,187,179,1140,Cache,C4703,5
3283,260,20,67,22,3932,166,246,216,1209,Rawah,C7745,6
2913,323,31,228,90,2614,126,190,195,691,Commanche,C7757,1
3001,270,4,458,-33,1695,210,241,170,1664,Commanche,C7755,1
3117,337,12,324,9,2366,193,223,169,2313,Commanche,C7756,1
3000,313,19,90,36,2400,166,222,195,1050,Commanche,C7755,1
