Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
3007,125,21,108,-7,808,250,220,87,1358,Commanche,C7757,1
3383,27,35,192,77,4123,183,144,74,911,Rawah,C8776,0
3054,75,9,120,9,1413,232,223,123,824,Commanche,C7756,1
3000,248,9,150,16,2906,200,247,185,534,Commanche,C7756,1
2749,30,17,541,87,592,213,201,119,1092,Commanche,C4704,1
3041,39,3,0,0,3004,220,232,149,2643,Rawah,C7202,0
2909,15,18,616,175,360,201,200,132,1209,Commanche,C4703,1
2698,211,10,30,2,966,212,250,173,1867,Commanche,C2705,0
3218,292,33,127,33,2241,113,213,231,3034,Rawah,C7745,0
2831,23,9,592,0,518,215,221,142,1194,Commanche,C4704,1
2969,63,8,170,29,1499,228,223,128,570,Commanche,C7756,1
2888,312,13,42,5,1830,185,230,185,2213,Commanche,C7202,0
3129,35,14,360,23,2244,218,209,124,1608,Commanche,C7756,1
3001,180,9,454,-19,1324,224,246,155,1454,Commanche,C7756,1
2691,108,12,362,28,807,240,226,114,408,Commanche,C2703,2
2924,71,16,30,-4,1195,236,206,96,1325,Commanche,C7202,1
3063,330,7,297,44,2476,204,232,167,1892,Commanche,C7756,0
3023,213,8,240,39,3042,213,248,170,591,Commanche,C7756,1
3096,358,21,541,22,2048,182,196,148,1381,Commanche,C7756,1
2973,311,15,720,327,1543,179,228,189,1974,Commanche,C7755,1
2393,94,21,192,-20,547,248,202,72,566,Cache,C2702,2
3196,288,28,162,-5,3241,132,225,227,2165,Rawah,C7745,0
3104,1,25,242,67,845,176,184,139,1884,Rawah,C7745,0
2974,34,14,283,51,3007,217,207,122,914,Commanche,C7757,1
3216,115,16,192,16,4606,246,222,99,2086,Rawah,C7202,0
3006,302,9,446,91,2762,194,236,181,1543,Commanche,C7756,1
2445,334,23,390,11,769,162,203,177,1168,Cache,C4703,5
2846,73,9,351,35,1600,231,223,124,2962,Commanche,C7202,1
3096,82,2,255,19,2549,221,236,151,1921,Commanche,C7756,0
3112,116,13,258,71,660,242,227,112,474,Commanche,C7755,0
2987,286,10,636,-47,1560,193,240,186,1935,Commanche,C7755,1
3161,143,15,60,0,1339,240,235,120,2568,Rawah,C7745,0
2966,74,16,277,46,1830,237,208,98,1863,Commanche,C7755,1
3169,306,13,150,1,3883,183,232,189,1677,Rawah,C7745,0
3085,227,17,127,43,552,194,253,193,684,Commanche,C7700,1
2368,82,18,108,40,467,242,206,87,430,Cache,C4703,5
3073,143,7,0,0,3508,231,239,140,2366,Rawah,C7745,0
2340,118,6,90,33,1087,230,235,138,1041,Cache,C2704,2
2998,256,14,30,8,2791,186,248,200,886,Commanche,C7757,1
2319,33,13,108,5,242,217,212,128,1233,Cache,C4703,5
3112,109,11,255,60,451,239,228,119,630,Commanche,C7756,1
2720,183,13,0,0,1530,223,248,155,1358,Commanche,C4703,1
3181,154,12,270,40,2343,235,241,135,1527,Commanche,C7756,1
2939,124,2,30,0,1323,222,237,151,466,Commanche,C7202,1
2953,91,16,0,0,418,243,213,95,1304,Rawah,C7746,0
2443,262,20,300,-19,124,167,246,215,551,Cache,C4703,2
3062,202,8,301,-7,2571,217,247,165,2101,Commanche,C7756,0
3513,56,23,395,79,2602,228,185,79,2242,Rawah,C8776,0
3105,131,27,190,-8,3312,251,213,71,2560,Rawah,C7745,0
3039,111,8,466,67,2491,234,231,129,2322,Commanche,C7202,0
3289,81,18,577,55,1471,242,204,86,2244,Rawah,C8772,0
2918,105,21,153,43,285,250,210,79,1443,Rawah,C7745,0
2905,335,28,234,63,2617,146,190,176,537,Commanche,C7757,1
2377,96,25,350,110,417,250,194,56,933,Cache,C2704,2
2827,36,15,342,97,85,218,206,120,934,Commanche,C4704,1
2870,4,10,216,-4,1486,207,220,151,2840,Commanche,C4704,1
3485,15,33,323,51,2676,172,154,101,2338,Rawah,C8776,0
2941,32,11,30,5,1165,218,217,134,1206,Commanche,C7202,1
3304,50,21,497,89,2014,224,189,89,2356,Rawah,C8771,0
2999,49,5,228,18,2070,222,229,142,1053,Commanche,C7756,1
3070,153,10,90,18,474,232,241,140,742,Commanche,C7202,1
3040,72,3,339,55,3064,223,233,146,484,Commanche,C7756,1
3230,9,9,576,4,2256,211,223,149,1187,Commanche,C7755,0
2731,49,11,384,44,350,224,217,125,1047,Commanche,C4704,1
2997,45,5,330,57,1253,221,229,143,680,Commanche,C7202,0
3015,145,4,511,97,2654,225,239,149,1604,Commanche,C7756,1
2989,41,19,120,-9,497,219,195,104,1158,Rawah,C7745,0
2759,332,8,67,6,497,201,230,168,2750,Commanche,C7755,1
2374,344,27,408,166,1036,155,186,163,977,Cache,C4703,5
2910,27,8,255,58,1718,217,222,141,2601,Commanche,C7756,1
2930,12,12,124,22,2285,208,216,144,417,Commanche,C7755,1
3091,302,6,150,7,3768,204,237,173,2008,Rawah,C7202,0
2826,52,17,170,38,1409,226,202,104,1328,Commanche,C4703,1
2807,137,8,201,72,1224,233,237,135,1632,Commanche,C4704,1
3299,90,7,301,75,1321,231,229,132,2377,Rawah,C8776,0
2472,85,23,42,12,778,246,193,64,457,Cache,C4703,1
2862,274,14,589,148,268,183,243,199,1765,Commanche,C4703,1
3015,34,14,268,88,2106,217,209,124,2325,Commanche,C7756,0
3089,73,19,212,21,866,239,200,84,2096,Rawah,C7745,0
2825,0,10,150,20,1168,206,222,154,2802,Commanche,C4704,1
3446,239,19,424,136,3550,182,252,205,977,Rawah,C8772,0
2678,42,13,335,70,400,222,211,122,212,Commanche,C4703,1
